"Marca temporal","Carrera","Nivel","Diariamente, ¿Cuánto tiempo da uso al MOODLE?","De 1 a 5, (siendo 1 el menor y 5 el mayor), ¿Con qué frecuencia realiza pruebas en el MOODLE?","De 1 a 10, (siendo 1 el menor y 10 el mayor), ¿Con qué frecuencia realiza trabajos, talleres o tareas en el MOODLE?","¿Qué uso le ha dado al MOODLE?","¿En qué área cree que el aula virtual le ha sido de más utilidad?","Del 1 al 10, (siendo 1 el menor y 10 el mayor), ¿Qué tan practico y útil le resultan ser las aulas virtuales?","¿Cuál es la actividad que realiza con más frecuencia en la plataforma MOODLE?","¿Con qué frecuencia utiliza los mensajes de la plataforma MOODLE?","Si su anterior respuesta fue nunca o poco, ¿Qué servicio de mensajes utiliza para comunicarse con sus profesores?","En su opinión, el calendario que se muestra en la plataforma:","¿Hace uso de otra plataforma educativa dentro de la universidad? ¿Cuál?"
"2021/08/12 5:11:18 p. m. GMT-5","INGENIERIA DE SISTEMAS","8","1-2 horas","2","2","Presentar examenes","Materias de carrera ( arriba de 5to semestre)","8","Tareas","Nunca","Gmail/Hotmail","No le prestó casi atención.","La plataforma de las notas."
"2021/08/12 5:11:34 p. m. GMT-5","INGENIERIA CIVIL","5","3-4 horas","3","6","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","8","Talleres","Poco","Correo institucional","Puede mejorar",""
"2021/08/12 5:11:40 p. m. GMT-5","INGENIERIA ELECTRICA","9","1-2 horas","2","4","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","6","Cuestionarios","Poco","Gmail/Hotmail","Está completo, bien implementado",""
"2021/08/12 5:12:27 p. m. GMT-5","INGENIERIA DE SISTEMAS","8","1-2 horas","2","2","Todas las anteriores","Materias de ciencias básicas (ciclo básico)","8","Cuestionarios","Poco","Slack","No me he fijado",""
"2021/08/12 5:12:35 p. m. GMT-5","ECONOMIA","8","1-2 horas","4","7","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","6","Tareas","Nunca","Whatsapp","Puede mejorar",""
"2021/08/12 5:12:40 p. m. GMT-5","TRABAJO SOCIAL","8","1-2 horas","1","1","Presentar examenes","Materias de carrera ( arriba de 5to semestre)","6","Talleres","Nunca","Whatsapp","Está completo, bien implementado",""
"2021/08/12 5:12:59 p. m. GMT-5","INGENIERIA DE SISTEMAS","7","1-2 horas","3","8","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","6","Talleres","Poco","Gmail/Hotmail","Puede mejorar",""
"2021/08/12 5:13:09 p. m. GMT-5","BIOLOGIA","10","1-2 horas","1","1","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","8","Tareas","Nunca","Gmail/Hotmail","Puede mejorar","Altissia, pero muy poco"
"2021/08/12 5:13:15 p. m. GMT-5","DERECHO","2","1-2 horas","3","10","Todas las anteriores","Materias de ciencias básicas (ciclo básico)","8","Talleres","Nunca","Correo institucional","Puede mejorar",""
"2021/08/12 5:13:43 p. m. GMT-5","INGENIERIA ELECTRONICA","7","3-4 horas","3","6","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","6","Cuestionarios","Poco","Gmail/Hotmail","Puede mejorar","No"
"2021/08/12 5:15:05 p. m. GMT-5","INGENIERIA DE SISTEMAS","8","1-2 horas","3","3","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","8","Tareas","Nunca","Gmail/Hotmail","Puede mejorar","Cormoran y meiweb"
"2021/08/12 5:19:04 p. m. GMT-5","INGENIERIA DE SISTEMAS","7","1-2 horas","3","4","Todas las anteriores","Materias de ciencias básicas (ciclo básico)","5","Cuestionarios","Poco","Gmail/Hotmail","Puede mejorar",""
"2021/08/12 5:23:05 p. m. GMT-5","QUIMICA","8","1-2 horas","4","7","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","9","Talleres","Poco","Correo institucional","Puede mejorar","No"
"2021/08/12 5:23:38 p. m. GMT-5","INGENIERIA DE SISTEMAS","7","Sólo al final del curso, para presentar parciales","3","4","Obtener material de clase","Materias de ciencias básicas (ciclo básico)","6","Talleres","Poco","Correo institucional","Puede mejorar",""
"2021/08/12 5:24:03 p. m. GMT-5","GEOLOGIA","10","Sólo al final del curso, para presentar parciales","3","6","Todas las anteriores","Electivas","7","Talleres","Poco","Gmail/Hotmail","Puede mejorar","Negativo"
"2021/08/12 5:25:52 p. m. GMT-5","FILOSOFIA","7","1-2 horas","3","3","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","2","Talleres","Nunca","Whatsapp","Puede mejorar",""
"2021/08/12 5:28:25 p. m. GMT-5","INGENIERIA ELECTRONICA","9","1-2 horas","3","5","Todas las anteriores","Materias de carrera ( arriba de 5to semestre)","4","Cuestionarios","Poco","Whatsapp","Puede mejorar","Microsoft Teams"
